ID,Example,Title,Author,Institution,Link,LinkIsAccesible,Included_Excluded,Reason for Exclusion (if applicable),Date Accessed,Date Created,Accountable Person,Summary (will be generated using AI),Subject of Resource (Archived),Type of Resource (Archived),Resource Subject (Modified),Resource Type (Modified),Resource Format (Modified),Sector,Level,Discipline (Archived),Individual Characteristics,Career Pathway,Research Funding Process,Organisational Culture,Miscellaneous Themes,Evaluated in Resource,Evaluation Link,Evalution Methods,Outcomes Measured,EDI Intervention Readiness Level,EDI Intervention Readiness (Archive)
83,,Future Leaders Fellows Development Network - Mentorship Programme ,UKRI ,UKRI ,https://www.flfdevnet.com/mentoring/,Available,Included  ,,2025-04-28 00:00:00,2021-10-01 00:00:00,Anna Linton,,Programme,Webpage,Programme or Initiative,Informational Resource,Webpage,Academia,National Initiative,Any,Career Stage," Leadership Development,  Mentorship & Sponsorship",,,,No,,,,Scaling,Scaling
84,,Early Career Mentoring Programme,Connected Everything Network,Connected Everything Network,https://connectedeverything.ac.uk/early-career-mentoring-programme/,Available,Included  ,,2025-04-28 00:00:00,,Anna Linton,,Programme,Webpage,Programme or Initiative,Informational Resource,Webpage,Academia,Single University/Organisation,Any,Career Stage, Mentorship & Sponsorship,,,,No,,,,Scaling,Scaling
85,,Reverse Mentoring,University of Nottingham,University of Nottingham,https://www.stemm-change.co.uk/home/reverse-mentoring/,Available,Included  ,,2025-04-28 00:00:00,,Anna Linton,,Training,Webpage,Programme or Initiative,Informational Resource,Webpage,Academia,Single University/Organisation,Any,Not Specified," Mentorship & Sponsorship, Diverse Leadership",,Cultural Competency,,No,,,,Pilot in single setting,Pilot in single setting
86,,The VisNet Project,"Caroline Gaucotte-Lindsay, Helen Mulvana",University of Glasgow,https://www.gla.ac.uk/colleges/scienceengineering/research/visnet/,Available,Included  ,,2025-04-28 00:00:00,,Anna Linton,,Project,Webpage,Programme or Initiative,Informational Resource,Webpage,Academia,Department,EPS - general,Sex,"Barrier Removal, Professional Development, Network Development",,,,Yes,https://www.ukri.org/wp-content/uploads/2023/04/EPSRC-130423-CollectionOutcomesOutputsEPSRCInclusionMattersPortfolioReport.pdf,Informal feedback,Peer mentoring impact ,Pilot in single setting,Pilot in single setting
87,,Toolkit For Integrating Gender-Sensitive Approach into Research and Teaching,Garcia,Garcia,https://eige.europa.eu/sites/default/files/garcia_toolkit_gender_research_teaching.pdf,Available,Included  ,,2025-04-28 00:00:00,,Anna Linton,,Framework,Toolkit,Programme or Initiative,Guidance Resources,Document,Academia,Single University/Organisation,Any,Sex,,,"Research Design, Systemic Change",,No,,,,Pilot in single setting,Pilot in single setting
88,,The Concordat to Support Research Integrity,Universities UK,Universities UK,https://www.universitiesuk.ac.uk/topics/research-and-innovation/concordat-research-integrity,Available,Excluded,General academic integrity ,2025-04-28 00:00:00,2025-04-04 00:00:00,Anna Linton,,,,,,,,,,,,,,,,,,,,
89,,Inclusive Design Toolkit,University of Cambridge,University of Cambridge,http://www.inclusivedesigntoolkit.com/,Available,Included  ,,2025-04-28 00:00:00,,Anna Linton,,Framework,Toolkit,Informational,Informational Resource,Webpage,Academia,Single University/Organisation,Any,Not Specified,,,Accessible & Inclusive Workspaces,,No,,,,Pilot in single setting,Pilot in single setting
90,,Inclusion Is Designing the Future,Invision article,Invision article,https://www.invisionapp.com/inside-design/inclusion-designing-future/,Available,Excluded,General third party tool for design products,2025-04-28 00:00:00,,Anna Linton,,,,,,,,,,,,,,,,,,,,
91,,6 Principles for Inclusive Design,Lillian Xiao,UX Planet,https://uxplanet.org/6-principles-for-inclusive-design-3e9867f7f63e,Available,Included  ,,2025-04-28 00:00:00,2018-06-21 00:00:00,Anna Linton,,Training,Blog,"Policies, Strategies & Processes",Social Media and Blog posts,Webpage,Other,Single University/Organisation,Any,Not Specified,,,Accessible & Inclusive Workspaces,,No,,,,Proof of Concept,Proof of Concept
92,,"Best Practices in Equity, Diversity and Inclusion in Research",Government of Canada,Government of Canada,https://www.sshrc-crsh.gc.ca/funding-financement/nfrf-fnfr/edi-eng.aspx#5,Available,Included  ,,2025-04-28 00:00:00,,Anna Linton, ,Framework,Report,"Policies, Strategies & Processes",Report,Document,Government,Single University/Organisation,EPS - general,Not Specified,"Recruitment Strategies, Professional Development,  Barrier Removal",,"Research Design, Systemic Change, Diverse Representation",,No,,,,Proof of Concept,Proof of Concept
93,,How To Include Indigenous Researchers and Their Knowledge,Nature Reviews Materials,Nature Reviews Materials,https://www.nature.com/articles/d41586-021-00022-1,Available,Excluded,Personal stories to raise awareness but does not provide actionable points,2025-04-28 00:00:00,,Anna Linton,,,,,,,,,,,,,,,,,,,,
94,,Gendered Innovations,Gendered Innovation,Gendered Innovation,http://genderedinnovations.stanford.edu/what-is-gendered-innovations.html,Available,Included  ,,2025-04-28 00:00:00,,Anna Linton,,Framework,Toolkit,Programme or Initiative,Informational Resource,Webpage,Academia,Multiple Universities/Organisations,Any,Sex,,,"Research Design, Policy Review & Reform",,No,,,,Scaling,Scaling
95,,Top Tips on Inclusive Teaching,Institute of Physics,Institute of Physics,https://www.iop.org/sites/default/files/2019-07/IGB-10-tips-whole-school-poster.pdf,Available,Included  ,,2025-04-28 00:00:00,,Anna Linton,,Framework,Poster,Training,Poster,Document,Academia,National Initiative,Any,Not Specified,,,Inclusive Language,,No,,,,Proof of Concept,Proof of Concept
96,,Introduction To Web Accessibility,Web Accessibility Initiative ,Web Accessibility Initiative ,https://www.w3.org/WAI/fundamentals/accessibility-intro/#what,Available,Included  ,,2025-05-20 00:00:00,,Anna Linton,,Framework,Webpage,Informational,Informational Resource,Webpage,Other,Not Specified,Any,Disability,,,Accessible & Inclusive Workspaces,,No,,,,Pilot in single setting,Pilot in single setting
97,,Recognising Authors (CRediT),University of Glasgow,University of Glasgow,http://eprints.gla.ac.uk/201273/1/201273.pdf,Available,Included  ,,2025-04-28 00:00:00,,Anna Linton,,Presentation,PDF,Recognition Schemes ,Presentation,Document,Academia,Single University/Organisation,Any,Job Roles,Visibility & Recognition ,,Policy Review & Reform,,No,,,,Pilot in single setting,Pilot in single setting
